,true_circle,true_crack,true_displaced,true_good,true_low_level
predicted_circle,68,1,1,0,0
predicted_crack,0,116,0,0,0
predicted_displaced,0,1,191,7,0
predicted_good,0,0,0,219,0
predicted_low_level,0,0,0,0,84
