,true_circle,true_crack,true_displaced,true_good,true_low_level,true_scratch,true_splinter,true_waferonpin
predicted_circle,51,1,3,5,0,10,0,0
predicted_crack,0,111,0,0,0,5,0,0
predicted_displaced,0,0,197,1,0,1,0,0
predicted_good,5,0,0,214,0,0,0,0
predicted_low_level,1,0,0,0,83,0,0,0
predicted_scratch,10,5,3,1,0,94,0,1
predicted_splinter,0,1,0,0,0,1,13,1
predicted_waferonpin,0,0,0,0,1,1,0,49
