,true_circle,true_crack,true_displaced,true_good,true_low_level
predicted_circle,49,14,1,6,0
predicted_crack,8,108,0,0,0
predicted_displaced,0,0,193,6,0
predicted_good,0,0,0,219,0
predicted_low_level,2,0,0,0,82
