,true_circle,true_crack,true_displaced,true_good,true_low_level
predicted_circle,43,16,7,4,0
predicted_crack,7,107,0,2,0
predicted_displaced,0,1,196,2,0
predicted_good,0,0,0,219,0
predicted_low_level,2,0,0,0,82
