,true_circle,true_crack,true_displaced,true_good,true_low_level
predicted_circle,62,3,3,2,0
predicted_crack,0,111,1,4,0
predicted_displaced,0,1,193,5,0
predicted_good,0,0,0,219,0
predicted_low_level,0,1,0,0,83
