,true_circle,true_crack,true_displaced,true_good,true_low_level,true_scratch,true_splinter,true_waferonpin
predicted_circle,28,8,5,10,0,18,0,1
predicted_crack,4,100,1,2,0,8,0,1
predicted_displaced,0,0,194,2,0,2,0,1
predicted_good,2,0,1,212,0,3,0,1
predicted_low_level,3,0,0,0,79,0,0,2
predicted_scratch,8,5,16,10,0,74,0,1
predicted_splinter,0,0,0,0,0,0,16,0
predicted_waferonpin,0,1,0,0,1,1,0,48
