,true_circle,true_crack,true_displaced,true_good,true_low_level,true_scratch,true_splinter,true_waferonpin
predicted_circle,45,3,4,7,0,10,0,1
predicted_crack,12,98,0,1,0,5,0,0
predicted_displaced,0,0,197,1,0,0,0,1
predicted_good,0,0,1,217,0,0,0,1
predicted_low_level,1,0,0,0,81,0,0,2
predicted_scratch,15,2,6,2,2,84,2,1
predicted_splinter,0,0,0,0,0,1,14,1
predicted_waferonpin,0,0,0,0,2,1,0,48
