,true_circle,true_crack,true_displaced,true_good,true_low_level,true_scratch,true_splinter,true_waferonpin
predicted_circle,40,10,3,0,0,14,2,1
predicted_crack,6,107,0,1,0,2,0,0
predicted_displaced,0,0,196,2,0,1,0,0
predicted_good,0,0,0,219,0,0,0,0
predicted_low_level,1,0,0,1,80,0,0,2
predicted_scratch,15,4,8,9,0,77,0,1
predicted_splinter,0,0,0,0,0,0,13,3
predicted_waferonpin,0,0,0,0,0,0,1,50
