,true_circle,true_crack,true_displaced,true_good,true_low_level,true_scratch,true_splinter,true_waferonpin
predicted_circle,54,5,2,2,0,7,0,0
predicted_crack,5,107,0,1,0,2,0,1
predicted_displaced,0,0,196,2,0,1,0,0
predicted_good,0,0,0,219,0,0,0,0
predicted_low_level,0,0,0,0,81,1,0,2
predicted_scratch,3,7,6,3,1,94,0,0
predicted_splinter,0,1,1,0,0,2,12,0
predicted_waferonpin,0,1,0,1,1,0,0,48
