,true_circle,true_crack,true_displaced,true_good,true_low_level,true_scratch,true_splinter,true_waferonpin
predicted_circle,23,10,4,11,0,21,1,0
predicted_crack,3,102,0,5,0,5,0,1
predicted_displaced,0,1,189,4,0,4,0,1
predicted_good,2,0,0,217,0,0,0,0
predicted_low_level,0,0,0,0,82,1,0,1
predicted_scratch,5,8,5,9,1,80,4,2
predicted_splinter,1,0,2,1,0,3,8,1
predicted_waferonpin,0,1,0,0,1,4,0,45
