,true_circle,true_crack,true_displaced,true_good,true_low_level,true_scratch,true_splinter,true_waferonpin
predicted_circle,47,2,4,5,0,12,0,0
predicted_crack,5,103,0,2,0,5,0,1
predicted_displaced,0,0,197,2,0,0,0,0
predicted_good,1,1,0,217,0,0,0,0
predicted_low_level,1,0,0,0,82,0,0,1
predicted_scratch,17,6,5,4,0,81,0,1
predicted_splinter,1,1,1,0,0,1,12,0
predicted_waferonpin,1,1,0,0,1,0,0,48
