,true_circle,true_crack,true_displaced,true_good,true_low_level,true_scratch,true_splinter,true_waferonpin
predicted_circle,61,1,2,1,0,5,0,0
predicted_crack,3,109,0,0,0,4,0,0
predicted_displaced,0,0,196,2,0,0,0,1
predicted_good,0,0,0,219,0,0,0,0
predicted_low_level,1,0,0,0,82,1,0,0
predicted_scratch,5,5,4,2,0,98,0,0
predicted_splinter,0,2,1,0,0,1,12,0
predicted_waferonpin,0,0,0,1,1,2,0,47
