,true_circle,true_crack,true_displaced,true_good,true_low_level,true_scratch,true_splinter,true_waferonpin
predicted_circle,45,8,2,2,0,11,1,1
predicted_crack,4,106,0,0,0,5,0,1
predicted_displaced,0,1,191,5,0,2,0,0
predicted_good,0,0,0,218,0,1,0,0
predicted_low_level,2,0,0,2,79,1,0,0
predicted_scratch,13,1,9,12,1,78,0,0
predicted_splinter,1,0,1,0,0,1,11,2
predicted_waferonpin,1,0,0,0,0,1,0,49
