,true_circle,true_crack,true_displaced,true_good,true_low_level
predicted_circle,37,14,5,14,0
predicted_crack,4,107,0,5,0
predicted_displaced,1,1,194,3,0
predicted_good,6,0,1,212,0
predicted_low_level,1,0,0,0,83
