,true_circle,true_crack,true_displaced,true_good,true_low_level,true_scratch,true_splinter,true_waferonpin
predicted_circle,68,1,0,0,0,0,1,0
predicted_crack,0,116,0,0,0,0,0,0
predicted_displaced,0,0,199,0,0,0,0,0
predicted_good,0,0,3,216,0,0,0,0
predicted_low_level,0,0,0,1,83,0,0,0
predicted_scratch,0,0,1,1,0,112,0,0
predicted_splinter,0,0,0,0,0,1,15,0
predicted_waferonpin,0,0,0,0,0,0,0,51
