,Train_Loss,Val_Loss,Train_Acc,Val_Acc,Timings,Frames
0,0.551728275514418,1.1207508600969365,75.66619915848527,54.27807486631016,0.11577349901199341,8.637555300081292
1,0.2966439691365685,2.121780584202731,88.63955119214586,40.90909090909091,0.11538700014352798,8.666487548477008
2,0.16375676712849363,0.37429313672417625,94.31977559607293,83.15508021390374,0.11520799994468689,8.679952785224248
3,0.13198515228394206,2.151549800194521,95.44179523141655,41.44385026737968,0.11608800292015076,8.614154562447196
4,0.07416421942266559,0.03528823589228771,97.82608695652173,99.46524064171123,0.11570200324058533,8.642892707057516
5,0.0505642770408479,0.17190675859782786,98.17671809256662,90.9090909090909,0.1252148151397705,7.986275417040342
6,0.06730738037682515,0.4230474160316794,97.61570827489481,91.71122994652407,0.116566501557827,8.578793964266948
7,0.16652347227404363,0.1062645421507843,95.37166900420758,97.05882352941177,0.11556500196456909,8.653138779044788
8,0.04969469290670807,0.04853090626949614,98.38709677419355,98.39572192513369,0.11528950184583664,8.673816644096396
9,0.04375884527285671,0.05424002888936171,98.31697054698458,99.19786096256685,0.11573199927806854,8.640652595980013
10,0.05295415392451166,0.03209692100436491,97.9663394109397,99.19786096256685,0.11569800227880478,8.643191587614771
11,0.04283560341521889,0.016949121532762512,98.94810659186535,99.19786096256685,0.12497007405316388,8.001915719235207
12,0.028125943738815662,0.027627620719657107,99.08835904628332,98.93048128342247,0.11616399884223938,8.608519076190596
13,0.02195112551934756,0.025833399637968324,99.50911640953717,99.19786096256685,0.1155330017209053,8.655535518896272
14,0.037800762509773024,0.03504714516506974,98.8078541374474,98.93048128342247,0.11628550291061401,8.59952423105292
15,0.022697164335674744,0.023226845499008577,99.29873772791024,99.46524064171123,0.11583950370550156,8.632633669963722
16,0.024586969526774586,0.03521311692526206,99.15848527349229,99.19786096256685,0.11533249914646149,8.670582944102282
17,0.016863527847519263,0.025338581355443014,99.57924263674614,98.93048128342247,0.12491258868464718,8.005598238978044
18,0.017719203295371643,0.028549718853574307,99.36886395511921,99.19786096256685,0.11631949990987778,8.597010825998924
19,0.029485721858858352,0.03945081973856783,99.01823281907433,99.19786096256685,0.11587399989366531,8.630063697789627
20,0.01769091153901389,0.02161150795182233,99.50911640953717,99.46524064171123,0.11574050039052963,8.640017942084379
21,0.027286675001388785,0.03236448733922951,99.01823281907433,99.19786096256685,0.11549299955368042,8.658533451070394
22,0.019138747834055822,0.03183531178345774,99.36886395511921,98.93048128342247,0.11518500000238419,8.68168598323828
23,0.023874548220090035,0.035827989610320424,99.15848527349229,99.19786096256685,0.1259662221979212,7.938636108565483
24,0.03238815341933746,0.03330604837868701,99.22861150070126,99.19786096256685,0.1159135028719902,8.627122597652459
25,0.008977670636587106,0.03252125047720013,99.64936886395512,99.19786096256685,0.11496199667453766,8.698526721235043
26,0.010409904595155551,0.029598554637392655,99.71949509116409,99.19786096256685,0.1155024990439415,8.657821330944211
27,0.011955461429554818,0.026461736029225656,99.71949509116409,99.19786096256685,0.11566650122404099,8.64554550727737
28,0.010355387720296377,0.036412378364083245,99.78962131837307,98.93048128342247,0.11562149971723557,8.648910474657432
29,0.010539247769487533,0.03595282548707337,99.71949509116409,99.19786096256685,0.1250702186867043,7.995508527133534
30,0.008128870660008086,0.027962954082391796,99.64936886395512,99.19786096256685,0.11637049913406372,8.593243196868631
31,0.02141766881943794,0.034663628694666104,99.15848527349229,99.19786096256685,0.11593650281429291,8.625411114925555
