,true_circle,true_crack,true_displaced,true_good,true_low_level
predicted_circle,43,10,5,12,0
predicted_crack,6,106,1,3,0
predicted_displaced,3,1,193,2,0
predicted_good,3,0,0,216,0
predicted_low_level,1,0,0,0,83
