,true_circle,true_crack,true_displaced,true_good,true_low_level,true_scratch,true_splinter,true_waferonpin
predicted_circle,53,1,2,5,0,9,0,0
predicted_crack,3,107,0,0,0,6,0,0
predicted_displaced,2,0,193,3,0,1,0,0
predicted_good,3,0,1,215,0,0,0,0
predicted_low_level,1,0,0,0,83,0,0,0
predicted_scratch,10,5,3,1,0,95,0,0
predicted_splinter,0,1,0,0,0,2,12,1
predicted_waferonpin,0,0,0,0,1,1,0,49
