,true_circle,true_crack,true_displaced,true_good,true_low_level
predicted_circle,70,0,0,0,0
predicted_crack,0,116,0,0,0
predicted_displaced,0,0,197,2,0
predicted_good,0,0,0,219,0
predicted_low_level,0,0,0,0,84
