,true_circle,true_crack,true_displaced,true_good,true_low_level
predicted_circle,43,10,5,12,0
predicted_crack,8,104,1,3,0
predicted_displaced,0,0,196,3,0
predicted_good,2,0,0,217,0
predicted_low_level,1,0,0,0,83
