,true_circle,true_crack,true_displaced,true_good,true_low_level
predicted_circle,48,9,5,8,0
predicted_crack,10,102,3,1,0
predicted_displaced,3,0,195,1,0
predicted_good,9,0,1,209,0
predicted_low_level,1,0,0,0,83
