,true_circle,true_crack,true_displaced,true_good,true_low_level
predicted_circle,42,12,4,12,0
predicted_crack,5,108,0,3,0
predicted_displaced,1,2,193,3,0
predicted_good,3,0,0,216,0
predicted_low_level,0,1,0,0,83
