,true_circle,true_crack,true_displaced,true_good,true_low_level
predicted_circle,45,8,6,11,0
predicted_crack,6,107,1,2,0
predicted_displaced,0,0,197,2,0
predicted_good,5,1,1,212,0
predicted_low_level,1,0,0,0,83
