,true_circle,true_crack,true_displaced,true_good,true_low_level,true_scratch,true_splinter,true_waferonpin
predicted_circle,58,5,1,0,0,5,1,0
predicted_crack,2,111,0,0,0,3,0,0
predicted_displaced,0,0,195,3,0,0,0,1
predicted_good,1,0,0,218,0,0,0,0
predicted_low_level,1,0,0,0,83,0,0,0
predicted_scratch,8,7,6,4,1,88,0,0
predicted_splinter,0,0,1,0,0,3,12,0
predicted_waferonpin,0,0,0,0,1,1,0,49
