,true_circle,true_crack,true_displaced,true_good,true_low_level
predicted_circle,58,5,6,1,0
predicted_crack,6,110,0,0,0
predicted_displaced,0,0,198,1,0
predicted_good,1,0,1,217,0
predicted_low_level,0,0,0,0,84
